GO	[-15.83 -0.96]	[-0.96 -0.54]	[-0.54 -0.26]	[-0.26 -0.03]	[-0.03 0.00]	[0.00 0.19]	[0.19 0.45]	[0.45 0.58]	[0.58 0.97]	[0.97 2.01]	[2.01 11.56]
TRAVAGLINI_LUNG_NEUROENDOCRINE_CELL TRAVAGLINI_LUNG_NEUROENDOCRINE_CELL	0.420	0.301	-1.023	-4.175	1.648	-1.023	-0.778	1.141	-0.778	1.141	1.650
DESCARTES_FETAL_PANCREAS_VASCULAR_ENDOTHELIAL_CELLS DESCARTES_FETAL_PANCREAS_VASCULAR_ENDOTHELIAL_CELLS	-1.211	-0.810	-2.654	-1.211	3.304	-0.329	-0.329	0.907	0.275	0.275	1.549
DESCARTES_FETAL_SPLEEN_MEGAKARYOCYTES DESCARTES_FETAL_SPLEEN_MEGAKARYOCYTES	-0.493	-0.930	-0.930	-1.622	-1.622	-0.345	-0.345	-0.685	1.136	2.692	3.493
LAKE_ADULT_KIDNEY_C27_VASCULAR_SMOOTH_MUSCLE_CELLS_AND_PERICYTES LAKE_ADULT_KIDNEY_C27_VASCULAR_SMOOTH_MUSCLE_CELLS_AND_PERICYTES	-1.030	-1.613	-1.297	-0.470	-2.426	-0.348	0.259	0.475	2.468	2.789	1.159
FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE	-4.050	-0.391	-0.283	0.904	-2.228	0.433	0.319	0.568	3.452	0.319	-0.390
TRAVAGLINI_LUNG_IGSF21_DENDRITIC_CELL TRAVAGLINI_LUNG_IGSF21_DENDRITIC_CELL	0.654	-1.124	-0.676	-0.676	0.654	-1.124	-1.865	0.226	-0.392	0.654	4.558
BUSSLINGER_DUODENAL_PANETH_CELLS BUSSLINGER_DUODENAL_PANETH_CELLS	-0.621	-0.621	-0.621	-0.621	0.824	-0.621	-0.621	2.866	-0.223	-0.621	2.070
DESCARTES_FETAL_SPLEEN_MESOTHELIAL_CELLS DESCARTES_FETAL_SPLEEN_MESOTHELIAL_CELLS	0.610	-0.858	-0.858	-1.883	0.485	-1.297	-1.883	0.751	-0.417	2.490	3.091
DESCARTES_MAIN_FETAL_SKELETAL_MUSCLE_CELLS DESCARTES_MAIN_FETAL_SKELETAL_MUSCLE_CELLS	-0.452	-1.150	-0.742	-2.889	1.690	0.351	-1.406	0.581	0.262	0.351	4.112
CUI_DEVELOPING_HEART_C6_EPICARDIAL_CELL CUI_DEVELOPING_HEART_C6_EPICARDIAL_CELL	0.623	-1.044	-0.843	-2.217	0.623	-2.217	-1.044	0.496	1.105	0.927	3.453
ZHONG_PFC_C2_UNKNOWN_NPC ZHONG_PFC_C2_UNKNOWN_NPC	-1.580	-0.775	0.824	0.599	-0.523	-0.775	2.097	0.599	2.503	-2.216	-1.116
DESCARTES_FETAL_HEART_VISCERAL_NEURONS DESCARTES_FETAL_HEART_VISCERAL_NEURONS	1.024	-1.420	-1.029	-1.420	1.024	-0.505	-1.933	-0.338	1.024	-0.338	3.602
DESCARTES_FETAL_STOMACH_MUC13_DMBT1_POSITIVE_CELLS DESCARTES_FETAL_STOMACH_MUC13_DMBT1_POSITIVE_CELLS	-0.312	0.426	-0.659	-1.680	0.794	-0.659	-1.680	3.468	-1.680	0.290	1.904
AIZARANI_LIVER_C39_EPCAM_POS_BILE_DUCT_CELLS_4 AIZARANI_LIVER_C39_EPCAM_POS_BILE_DUCT_CELLS_4	-1.973	-0.701	-0.318	0.285	-2.804	-0.701	0.285	-0.548	1.535	2.294	2.297
AIZARANI_LIVER_C24_EPCAM_POS_BILE_DUCT_CELLS_3 AIZARANI_LIVER_C24_EPCAM_POS_BILE_DUCT_CELLS_3	-0.882	-0.548	-0.701	-1.347	-1.973	-0.421	-0.548	0.285	1.116	5.027	1.118
GAO_LARGE_INTESTINE_ADULT_CH_MKI67HIGH_CELLS GAO_LARGE_INTESTINE_ADULT_CH_MKI67HIGH_CELLS	-2.009	-1.166	-0.869	0.977	-1.540	0.419	2.466	1.221	1.790	-0.634	-0.868
DESCARTES_FETAL_ADRENAL_SCHWANN_CELLS DESCARTES_FETAL_ADRENAL_SCHWANN_CELLS	0.396	-0.813	-1.063	-2.188	1.585	0.533	-2.188	0.695	-0.610	0.396	3.216
DESCARTES_FETAL_PANCREAS_STROMAL_CELLS DESCARTES_FETAL_PANCREAS_STROMAL_CELLS	-1.118	-0.260	-0.550	-0.550	4.127	-1.118	-0.260	-0.260	-0.550	-0.550	2.054
AIZARANI_LIVER_C1_NK_NKT_CELLS_1 AIZARANI_LIVER_C1_NK_NKT_CELLS_1	-3.008	0.337	-1.067	0.451	-2.039	-1.067	0.740	0.916	2.098	1.565	0.338
DESCARTES_MAIN_FETAL_CHROMAFFIN_CELLS DESCARTES_MAIN_FETAL_CHROMAFFIN_CELLS	-0.434	-0.953	-0.953	0.457	3.982	0.200	-0.434	0.457	-0.953	-0.953	0.822
DESCARTES_MAIN_FETAL_INTESTINAL_EPITHELIAL_CELLS DESCARTES_MAIN_FETAL_INTESTINAL_EPITHELIAL_CELLS	0.968	-0.538	-1.077	-1.077	3.937	-0.364	-1.999	0.539	-1.477	0.539	0.738
DESCARTES_FETAL_HEART_LYMPHOID_CELLS DESCARTES_FETAL_HEART_LYMPHOID_CELLS	-0.493	-0.930	-2.101	-1.237	0.702	-0.345	-0.930	1.136	-0.493	0.702	4.382
DESCARTES_FETAL_THYMUS_STROMAL_CELLS DESCARTES_FETAL_THYMUS_STROMAL_CELLS	-0.395	0.934	-0.395	-1.926	-0.395	-0.940	-2.396	0.934	-0.395	0.581	4.032
DESCARTES_FETAL_EYE_GANGLION_CELLS DESCARTES_FETAL_EYE_GANGLION_CELLS	-0.256	-1.225	-0.451	-0.755	1.566	-0.451	-1.990	2.486	-1.225	0.848	0.849
DESCARTES_FETAL_ADRENAL_VASCULAR_ENDOTHELIAL_CELLS DESCARTES_FETAL_ADRENAL_VASCULAR_ENDOTHELIAL_CELLS	-0.539	-0.940	-1.926	-1.535	2.216	-0.940	-0.940	2.538	0.320	0.934	0.936
DESCARTES_FETAL_SPLEEN_MYELOID_CELLS DESCARTES_FETAL_SPLEEN_MYELOID_CELLS	0.563	-1.322	-1.322	-1.023	-2.130	-1.023	0.563	0.420	0.731	2.582	1.939
MENON_FETAL_KIDNEY_6_COLLECTING_DUCT_CELLS MENON_FETAL_KIDNEY_6_COLLECTING_DUCT_CELLS	-1.201	-0.875	-0.624	-2.164	-1.621	1.081	-0.290	1.352	0.313	2.737	0.842
DESCARTES_FETAL_HEART_MEGAKARYOCYTES DESCARTES_FETAL_HEART_MEGAKARYOCYTES	0.261	-0.493	-0.685	-1.237	-0.930	-2.101	-0.685	0.380	0.527	3.079	2.695
DESCARTES_FETAL_CEREBRUM_INHIBITORY_NEURONS DESCARTES_FETAL_CEREBRUM_INHIBITORY_NEURONS	0.597	-0.729	-1.948	-0.729	1.621	0.370	-1.948	1.225	0.370	-0.729	1.227
DESCARTES_MAIN_FETAL_VISCERAL_NEURONS DESCARTES_MAIN_FETAL_VISCERAL_NEURONS	0.636	-1.836	-0.457	-1.836	2.470	0.301	-1.836	1.403	-0.457	-0.301	1.115
BUSSLINGER_ESOPHAGEAL_PROLIFERATING_BASAL_CELLS BUSSLINGER_ESOPHAGEAL_PROLIFERATING_BASAL_CELLS	-0.263	-0.263	0.519	1.637	-2.903	0.342	-0.421	-0.421	2.874	-1.393	-0.646
BUSSLINGER_DUODENAL_GOBLET_CELLS BUSSLINGER_DUODENAL_GOBLET_CELLS	-0.663	-0.247	-0.247	-0.663	-0.663	-0.663	-0.663	1.940	-0.247	-0.247	3.559
TRAVAGLINI_LUNG_CD4_NAIVE_T_CELL TRAVAGLINI_LUNG_CD4_NAIVE_T_CELL	-0.341	3.114	2.094	0.841	-2.799	-0.341	-0.473	-1.104	-0.848	-0.640	0.265
LAKE_ADULT_KIDNEY_C6_PROXIMAL_TUBULE_EPITHELIAL_CELLS_FIBRINOGEN_POS_S3 LAKE_ADULT_KIDNEY_C6_PROXIMAL_TUBULE_EPITHELIAL_CELLS_FIBRINOGEN_POS_S3	-0.513	-0.293	-0.513	0.309	-5.299	1.386	-0.513	-0.513	1.386	0.988	0.818
CUI_DEVELOPING_HEART_VASCULAR_ENDOTHELIAL_CELL CUI_DEVELOPING_HEART_VASCULAR_ENDOTHELIAL_CELL	-0.380	0.416	-1.487	-1.487	-0.634	-2.143	-0.495	0.317	1.367	3.244	1.370
CUI_DEVELOPING_HEART_VALVAR_ENDOTHELIAL_CELL CUI_DEVELOPING_HEART_VALVAR_ENDOTHELIAL_CELL	-1.035	-1.657	-0.453	-0.453	-0.800	-0.608	-0.608	-0.608	0.660	3.756	2.667
DESCARTES_FETAL_PANCREAS_DUCTAL_CELLS DESCARTES_FETAL_PANCREAS_DUCTAL_CELLS	1.192	-1.635	-0.983	-1.276	2.670	-0.983	-1.635	1.441	-0.282	0.445	0.770
LAKE_ADULT_KIDNEY_C4_PROXIMAL_TUBULE_EPITHELIAL_CELLS_S2 LAKE_ADULT_KIDNEY_C4_PROXIMAL_TUBULE_EPITHELIAL_CELLS_S2	0.277	-0.436	-0.570	-2.524	-3.581	0.939	0.939	0.939	-0.327	1.561	0.771
AIZARANI_LIVER_C32_MVECS_3 AIZARANI_LIVER_C32_MVECS_3	-0.727	-0.537	-0.963	-1.609	-1.254	-0.537	-0.273	-0.388	1.219	4.312	1.221
BUSSLINGER_GASTRIC_PPP1R1B_POSITIVE_CELLS BUSSLINGER_GASTRIC_PPP1R1B_POSITIVE_CELLS	-0.885	4.120	1.087	0.680	-1.928	0.871	-0.482	-0.482	-1.164	-0.482	-0.884
ZHENG_CORD_BLOOD_C7_PUTATIVE_LYMPHOID_PRIMED_MULTIPOTENT_PROGENITOR_1 ZHENG_CORD_BLOOD_C7_PUTATIVE_LYMPHOID_PRIMED_MULTIPOTENT_PROGENITOR_1	-0.897	-0.641	-0.301	0.301	-2.197	0.613	1.052	-1.227	2.299	1.944	-1.225
