name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
DAC+SB.140.3-x1-0	DAC+SB.140.3-x1-0	4.17577566308467	0.443393769953985	1.3619003509646	0.325569906520649	0.744749783799978	1
DAC+SB.142.1-x1-0	DAC+SB.142.1-x1-0	0.336993900692896	-0.0306378023410451	3.94664084486802	-0.00776300746516741	0.993806078410251	1
DAC+SB.145.1-x1-0	DAC+SB.145.1-x1-0	0.404819798663116	-0.362182394890309	3.46653586694001	-0.104479632922424	0.916788730385888	1
DAC+SB.146.1-x1-0	DAC+SB.146.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.146.3-x1-0	DAC+SB.146.3-x1-0	62.7808189539392	-0.0276780425319514	0.46081126685696	-0.0600637278700543	0.952104878748396	0.99977667339471
DAC+SB.146.4-x1-0	DAC+SB.146.4-x1-0	51.1871591329955	-0.418054439655015	0.370451732817701	-1.12849907996176	0.259109205203681	0.927128301584835
DAC+SB.146.5-x1-0	DAC+SB.146.5-x1-0	1.87696272573671	-1.2504059110495	2.84842633289153	-0.438981305786544	0.660675081989134	1
DAC+SB.146.2-x1-0	DAC+SB.146.2-x1-0	0.164450982910732	1.64291125759156	4.01574317477333	0.409117611881217	0.682453352124556	1
DAC+SB.147.3-x1-0	DAC+SB.147.3-x1-0	0	0	NA	NA	NA	1
DAC+SB.147.1-x1-0	DAC+SB.147.1-x1-0	5.4320153710875	-0.114791416307778	1.10108615217477	-0.104252892547102	0.916968660429496	0.99977667339471
DAC+SB.147.2-x1-0	DAC+SB.147.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.147.4-x1-0	DAC+SB.147.4-x1-0	1.85142004820967	3.06367220687505	2.25022447042533	1.36149626276883	0.173356913776358	1
DAC+SB.149.2-x1-0	DAC+SB.149.2-x1-0	2.91633583330422	-0.732601498896188	1.17927266231228	-0.621231647530713	0.53444721944083	1
DAC+SB.149.1-x1-0	DAC+SB.149.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.150.1-x1-0	DAC+SB.150.1-x1-0	1.80130540572419	0.125797833064968	3.40958283622836	0.0368953737472834	0.970568428452484	1
DAC+SB.150.2-x1-0	DAC+SB.150.2-x1-0	0.0770486784306508	-0.924003088679522	4.04461600556237	-0.228452611424369	0.819294392618224	1
DAC+SB.150.3-x1-0	DAC+SB.150.3-x1-0	0.328901965821465	2.32759407654458	3.99461380755837	0.582683130003819	0.560106631892038	1
DAC+SB.155.2-x1-0	DAC+SB.155.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.155.1-x1-0	DAC+SB.155.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.157.1-x1-0	DAC+SB.157.1-x1-0	0.350558815949591	2.39006742198378	3.99311964422066	0.598546408556273	0.549475402592595	1
DAC+SB.157.2-x1-0	DAC+SB.157.2-x1-0	0.631919866519352	-0.450424138872965	3.90988978440787	-0.115201236789128	0.90828561838902	1
DAC+SB.158.2-x1-0	DAC+SB.158.2-x1-0	0.599913012655089	0.942508063470275	3.20718373081511	0.293874047318997	0.76885415014498	1
DAC+SB.160.1-x1-0	DAC+SB.160.1-x1-0	0.683447981353539	-0.549317181567682	3.41220437150789	-0.160986014247714	0.872104415975824	1
DAC+SB.162.1-x1-0	DAC+SB.162.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.164.1-x1-0	DAC+SB.164.1-x1-0	0.25095984130913	-0.548845777420414	3.69496117663942	-0.148538983546125	0.881917422751443	1
DAC+SB.165.1-x1-0	DAC+SB.165.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.166.1-x1-0	DAC+SB.166.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.166.2-x1-0	DAC+SB.166.2-x1-0	0.164450982910732	1.64291125759156	4.01574317477333	0.409117611881217	0.682453352124556	1
DAC+SB.167.1-x1-0	DAC+SB.167.1-x1-0	1.15099512382392	-0.309432327609037	2.5448469198304	-0.12159172530097	0.90322236711543	1
DAC+SB.168.1-x1-0	DAC+SB.168.1-x1-0	0	0	NA	NA	NA	1
DAC.22.2-x2-0	DAC.22.2-x2-0	0.168496950346448	-0.0199390144724509	4.00363003629319	-0.004980234010561	0.996026364599963	1
DAC.22.1-x2-0	DAC.22.1-x2-0	0.0770486784306508	-0.924003088679522	4.04461600556237	-0.228452611424369	0.819294392618224	1
DAC+SB.169.2-x1-0	DAC+SB.169.2-x1-0	0.847957732117503	2.23531957283431	2.82880119707087	0.790200306458056	0.429410797097554	1
uc011clv.1-x0-0	uc011clv.1-x0-0	1481.0000059298	-0.120126885970122	0.135892611799378	-0.883983936871187	0.376704884097346	0.99977667339471
uc003jaq.4-x0-0	uc003jaq.4-x0-0	51.062988231457	0.0634191191740022	0.446867758030427	0.141919209954915	0.887143820550084	0.99977667339471
uc021xvu.1-x0-0	uc021xvu.1-x0-0	229.162688093309	0.0405603715835712	0.297133004077977	0.136505776964874	0.891421457943033	0.99977667339471
uc010isw.1-x0-0	uc010isw.1-x0-0	117.022183213489	-0.0855698993514008	0.253495372793439	-0.337560005172668	0.735694785961017	0.99977667339471
uc010isy.3-x0-0	uc010isy.3-x0-0	154.73354191293	-0.190218391138937	2.17378025096219	-0.0875058051772895	0.930269471269858	0.99977667339471
uc010isz.3-x0-0	uc010isz.3-x0-0	1003.3500583878	-0.391670064427227	0.257656610547644	-1.52012425993938	0.128479748426767	0.697703424394066
uc003jax.3-x0-0	uc003jax.3-x0-0	66.9827994928752	0.0615119007531681	2.07723225480311	0.0296124328952318	0.976376149646228	0.99977667339471
uc003jay.3-x0-0	uc003jay.3-x0-0	10.7888553560778	6.88150004631795	3.91372357213657	1.75829997174819	0.0786964825056465	0.56391924863211
uc003jaz.3-x0-0	uc003jaz.3-x0-0	77.1527041113151	-0.206648862862165	0.786997530917245	-0.262578794397634	0.792875246292289	0.99977667339471
uc003jbb.1-x0-0	uc003jbb.1-x0-0	46.2222012471436	0.36696091162642	0.326320930948649	1.12453991400315	0.260784047687102	0.929182273787842
uc031sim.1-x0-0	uc031sim.1-x0-0	40.4358675636693	-0.380894336798889	0.425603881793806	-0.89495033549394	0.370813637422919	0.99977667339471
uc011clz.1-x0-0	uc011clz.1-x0-0	54.874512694552	-0.355521945152596	0.371355879496722	-0.957361832090595	0.338384656231333	0.99977667339471
DAC+SB.671.1-x1-0	DAC+SB.671.1-x1-0	8.51718257308117	-1.76686596322319	3.47866735804913	-0.50791460676311	0.61151323055961	0.99977667339471
DAC+SB.671.2-x1-0	DAC+SB.671.2-x1-0	9.2693404345063	0.0973776875283146	1.71185122653235	0.0568844336581574	0.954637254374411	0.99977667339471
uc003jbg.4-x0-0	uc003jbg.4-x0-0	6.66178367533891	-0.328072923616452	0.951115950612628	-0.344934729992842	0.730143440347777	0.99977667339471
