name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
DAC+SB.110.2-x1-0	DAC+SB.110.2-x1-0	2.25257969373118	2.68149330614429	2.84375596807658	0.942940722145707	0.345711224145605	1
DAC+SB.112.1-x1-0	DAC+SB.112.1-x1-0	3.66867561849067	0.35425772749568	1.20971159226989	0.292844781978948	0.769640796900754	0.999958274405444
DAC+SB.118.1-x1-0	DAC+SB.118.1-x1-0	8.21555565953955	-0.761665281962124	0.771179992539224	-0.987662140266668	0.323318142100562	0.999958274405444
DAC+SB.119.1-x1-0	DAC+SB.119.1-x1-0	1.18622532574589	-1.98926701177362	2.88378158698921	-0.689811954119071	0.490312450176031	1
DAC+SB.120.1-x1-0	DAC+SB.120.1-x1-0	8.73204286394414	0.694302539703228	0.914064505927631	0.759577179948171	0.44750736397212	0.999958274405444
DAC+SB.121.1-x1-0	DAC+SB.121.1-x1-0	8.31446965322754	-0.725218966531462	0.725251067326623	-0.999955738368951	0.317331928374824	0.999958274405444
DAC+SB.122.2-x1-0	DAC+SB.122.2-x1-0	1.65680524093033	1.46264920139027	3.89999055909695	0.375039164640683	0.707631339726175	1
DAC+SB.122.3-x1-0	DAC+SB.122.3-x1-0	0.131707762398624	-1.52725144656104	4.02497696767622	-0.379443524478795	0.704358534905038	1
DAC+SB.122.1-x1-0	DAC+SB.122.1-x1-0	2.76816387638169	-0.0549546643637474	1.59788896947265	-0.0343920418837888	0.972564529376165	1
DAC+SB.123.6-x1-0	DAC+SB.123.6-x1-0	0.32926940599656	-2.40480572568679	3.9954914849022	-0.601879827494026	0.547254132951165	1
DAC+SB.123.2-x1-0	DAC+SB.123.2-x1-0	9.11898138364815	6.56228954178652	3.86091930772613	1.69967021290879	0.0891929752513758	0.861531751485671
DAC+SB.123.3-x1-0	DAC+SB.123.3-x1-0	19.3414143569271	-0.770958835387324	0.548079061474153	-1.40665624647966	0.159529345744919	0.977953987127295
DAC+SB.123.5-x1-0	DAC+SB.123.5-x1-0	0	0	NA	NA	NA	1
DAC+SB.123.1-x1-0	DAC+SB.123.1-x1-0	13.6634177729904	-1.36299149125055	3.33587063300653	-0.408586435506379	0.682843186812041	0.999958274405444
DAC+SB.123.4-x1-0	DAC+SB.123.4-x1-0	0	0	NA	NA	NA	1
STRG.35.1-x3-0	STRG.35.1-x3-0	0	0	NA	NA	NA	1
DAC+SB.126.1-x1-0	DAC+SB.126.1-x1-0	0.445403993428584	-0.564960132548882	3.9434309120545	-0.143266141882156	0.886079994812257	1
DAC+SB.126.2-x1-0	DAC+SB.126.2-x1-0	0.375786913971239	2.23513688077708	3.99785247966263	0.559084381464146	0.576104133443624	1
DAC+SB.128.2-x1-0	DAC+SB.128.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.128.3-x1-0	DAC+SB.128.3-x1-0	0	0	NA	NA	NA	1
DAC+SB.128.1-x1-0	DAC+SB.128.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.129.1-x1-0	DAC+SB.129.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.129.2-x1-0	DAC+SB.129.2-x1-0	0.770910201167111	-0.227162947787094	3.90659650529111	-0.0581485565451726	0.95363029726627	1
DAC+SB.129.3-x1-0	DAC+SB.129.3-x1-0	0.31369623102996	0.0885803042236053	3.96724853351278	0.0223278938728783	0.982186398332739	1
DAC+SB.129.4-x1-0	DAC+SB.129.4-x1-0	0	0	NA	NA	NA	1
DAC+SB.129.5-x1-0	DAC+SB.129.5-x1-0	0	0	NA	NA	NA	1
DAC+SB.130.1-x1-0	DAC+SB.130.1-x1-0	1.10638775661475	2.48928470343087	3.51541203673841	0.708106098919892	0.478879372469602	1
DAC+SB.135.1-x1-0	DAC+SB.135.1-x1-0	24.4243053219563	0.231878278278677	2.24379399950734	0.103342052937832	0.917691500848482	0.999958274405444
DAC.20.1-x2-0	DAC.20.1-x2-0	48.06936615477	-0.269725365459431	1.30597767540159	-0.206531375336482	0.836375859024864	0.999958274405444
DAC+SB.137.1-x1-0	DAC+SB.137.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.137.3-x1-0	DAC+SB.137.3-x1-0	0.655282042092648	2.58554287054632	3.98954757455239	0.64807921756301	0.516933714967027	1
DAC+SB.137.2-x1-0	DAC+SB.137.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.138.1-x1-0	DAC+SB.138.1-x1-0	2.23376167019375	0.593777981521719	1.64265684646124	0.36147414647246	0.717745028428841	1
DAC+SB.138.2-x1-0	DAC+SB.138.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.140.1-x1-0	DAC+SB.140.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.140.2-x1-0	DAC+SB.140.2-x1-0	1.14395787926766	-2.41960112911546	3.38058491324176	-0.715734463476388	0.47415532622926	1
DAC+SB.140.4-x1-0	DAC+SB.140.4-x1-0	0	0	NA	NA	NA	1
DAC+SB.140.3-x1-0	DAC+SB.140.3-x1-0	2.69333150439101	-0.158338243843023	1.35476504415699	-0.116875058539431	0.906959063077016	1
DAC+SB.142.1-x1-0	DAC+SB.142.1-x1-0	1.09941764338756	-0.427746427380152	2.60497519273372	-0.164203647149233	0.8695708300699	1
DAC+SB.145.1-x1-0	DAC+SB.145.1-x1-0	2.70400049067971	0.0133813865921552	1.35583831397786	0.00986945600681242	0.992125441267273	1
DAC+SB.146.1-x1-0	DAC+SB.146.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.146.3-x1-0	DAC+SB.146.3-x1-0	90.2273702062027	0.0160836800283447	0.357209786133962	0.0450258661791336	0.964086691628373	0.999958274405444
DAC+SB.146.4-x1-0	DAC+SB.146.4-x1-0	71.5262225362586	0.268130343058201	0.386976303469902	0.692885690038267	0.488381290717004	0.999958274405444
DAC+SB.146.5-x1-0	DAC+SB.146.5-x1-0	2.3233105026571	-2.52132684259905	3.86640197787657	-0.652111926547215	0.514328970741616	1
DAC+SB.146.2-x1-0	DAC+SB.146.2-x1-0	0.247842349830648	0.659048191231862	3.99781275429002	0.16485219086978	0.869060323589532	1
DAC+SB.147.3-x1-0	DAC+SB.147.3-x1-0	0	0	NA	NA	NA	1
