Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(9).fcs,8a,Experiment,None,,R6,VL1-H,,8765,300,29.217,35.102,60.005,18060,N/A,19362,N/A,19729,N/A,4963.76,N/A,27.48,N/A,2326.20,N/A,12.01,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(9).fcs,8a,Experiment,None,,R7,VL1-H,,10074,300,33.580,40.344,68.967,20510,N/A,19662,N/A,19729,N/A,8055.10,N/A,39.27,N/A,3691.67,N/A,18.78,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(9).fcs,8a,Experiment,None,,R5,VL1-H,,14607,300,48.690,58.498,58.498,14703,N/A,17117,N/A,19729,N/A,10950.35,N/A,74.48,N/A,10419.71,N/A,60.87,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(10).fcs,8b,Experiment,None,N/A,All Events,N/A,N/A,19510,300,65.033,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(10).fcs,8b,Experiment,None,,R4,FSC-A,SSC-A,14002,300,46.673,71.768,71.768,204842,303908,188474,270729,158677,240701,65935.02,145620.15,32.19,47.92,49312.02,130284.21,26.16,48.12
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(10).fcs,8b,Experiment,None,,R5,SSC-A,SSC-H,11444,300,38.147,58.657,81.731,290551,236827,267081,222728,240673,179133,113172.23,81858.92,38.95,34.56,108772.43,82687.57,40.73,37.12
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(10).fcs,8b,Experiment,None,,R4,SSC-A,SSC-H,14002,300,46.673,71.768,71.768,303908,235899,270729,221389,240701,195691,145620.15,94591.18,47.92,40.10,130284.21,93734.42,48.12,42.34
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(10).fcs,8b,Experiment,None,,R1,VL1-H,,2054,300,6.847,10.528,17.948,12660,N/A,13541,N/A,16533,N/A,3467.96,N/A,27.39,N/A,3690.19,N/A,27.25,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(10).fcs,8b,Experiment,None,,R2,VL1-H,,6216,300,20.720,31.861,54.317,17351,N/A,19057,N/A,20265,N/A,3947.45,N/A,22.75,N/A,2135.69,N/A,11.21,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(10).fcs,8b,Experiment,None,,R6,VL1-H,,6879,300,22.930,35.259,60.110,18237,N/A,19358,N/A,20265,N/A,4703.13,N/A,25.79,N/A,2260.96,N/A,11.68,N/A
