GO	[-8.85 -1.02]	[-1.02 -0.60]	[-0.60 -0.32]	[-0.32 -0.08]	[-0.08 0.00]	[0.00 0.00]	[0.00 0.22]	[0.22 0.50]	[0.50 0.92]	[0.92 1.96]	[1.96 11.51]
CUI_DEVELOPING_HEART_TRABECULAR_ATRIAL_CARDIOMYOCYTE CUI_DEVELOPING_HEART_TRABECULAR_ATRIAL_CARDIOMYOCYTE	-0.993	-0.791	-0.363	1.243	-0.479	-3.711	-0.270	1.692	3.806	-0.479	-0.619
DESCARTES_FETAL_PLACENTA_STROMAL_CELLS DESCARTES_FETAL_PLACENTA_STROMAL_CELLS	-0.432	-0.290	-1.621	-1.201	2.737	0.456	-2.164	-1.201	0.456	0.313	3.156
DESCARTES_FETAL_HEART_VISCERAL_NEURONS DESCARTES_FETAL_HEART_VISCERAL_NEURONS	0.576	-0.505	-1.420	-1.420	1.024	1.605	-1.420	-1.933	0.267	-0.338	3.602
LAKE_ADULT_KIDNEY_C27_VASCULAR_SMOOTH_MUSCLE_CELLS_AND_PERICYTES LAKE_ADULT_KIDNEY_C27_VASCULAR_SMOOTH_MUSCLE_CELLS_AND_PERICYTES	-1.030	-1.986	-1.030	-0.348	-1.613	-0.806	0.259	0.475	2.468	3.859	0.616
MENON_FETAL_KIDNEY_9_ENDOTHELIAL_CELLS MENON_FETAL_KIDNEY_9_ENDOTHELIAL_CELLS	-1.858	-0.385	-0.260	-3.183	-0.552	-0.552	0.667	-0.385	1.373	3.987	0.347
MURARO_PANCREAS_PANCREATIC_POLYPEPTIDE_CELL MURARO_PANCREAS_PANCREATIC_POLYPEPTIDE_CELL	0.259	-1.613	-0.621	-1.613	0.475	0.357	-1.613	-0.348	-0.806	3.127	3.489
DESCARTES_FETAL_CEREBRUM_OLIGODENDROCYTES DESCARTES_FETAL_CEREBRUM_OLIGODENDROCYTES	-1.038	-2.107	-0.471	-0.710	3.632	2.256	-1.038	-0.471	-0.710	-0.301	1.190
ZHENG_CORD_BLOOD_C9_GRANULOCYTE_MACROPHAGE_PROGENITOR ZHENG_CORD_BLOOD_C9_GRANULOCYTE_MACROPHAGE_PROGENITOR	-0.360	0.371	-0.360	0.524	-1.355	-3.107	0.371	2.431	1.165	1.165	-2.363
BUSSLINGER_ESOPHAGEAL_PROLIFERATING_BASAL_CELLS BUSSLINGER_ESOPHAGEAL_PROLIFERATING_BASAL_CELLS	-0.263	-0.263	0.519	1.637	-1.393	-2.903	0.342	0.519	2.874	-1.393	-0.646
ZHONG_PFC_C2_UNKNOWN_NPC ZHONG_PFC_C2_UNKNOWN_NPC	-1.580	-0.775	0.824	0.599	-0.341	-1.117	0.599	2.097	2.503	-2.216	-1.116
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_SUSTENTACULAR_CELLS DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_SUSTENTACULAR_CELLS	-0.729	-0.729	-1.191	-1.191	0.883	3.690	-1.191	-1.191	-0.242	0.883	1.227
CUI_DEVELOPING_HEART_VALVAR_ENDOTHELIAL_CELL CUI_DEVELOPING_HEART_VALVAR_ENDOTHELIAL_CELL	-0.608	-2.062	-0.608	-0.453	-0.608	-0.800	-1.035	-0.608	1.030	4.158	2.342
DESCARTES_FETAL_INTESTINE_ENS_GLIA DESCARTES_FETAL_INTESTINE_ENS_GLIA	-0.434	-1.064	-1.606	-1.064	-0.434	4.294	-0.434	-0.434	-0.434	-0.260	2.680
DESCARTES_FETAL_STOMACH_GOBLET_CELLS DESCARTES_FETAL_STOMACH_GOBLET_CELLS	-0.663	0.362	-0.663	-0.663	1.940	1.940	-0.663	-0.663	-0.663	-0.663	1.293
LAKE_ADULT_KIDNEY_C16_COLLECTING_SYSTEM_PRINCIPAL_CELLS_CORTEX LAKE_ADULT_KIDNEY_C16_COLLECTING_SYSTEM_PRINCIPAL_CELLS_CORTEX	1.274	-0.441	-0.441	-0.320	-1.296	-3.094	0.676	0.392	0.676	3.422	-1.630
CUI_DEVELOPING_HEART_C6_EPICARDIAL_CELL CUI_DEVELOPING_HEART_C6_EPICARDIAL_CELL	0.623	-1.044	-0.843	-2.625	0.496	1.105	-1.549	-1.279	0.623	1.105	3.130
DESCARTES_MAIN_FETAL_ISLET_ENDOCRINE_CELLS DESCARTES_MAIN_FETAL_ISLET_ENDOCRINE_CELLS	-0.359	-0.566	-1.271	-0.566	2.675	3.153	-1.855	0.250	-1.271	0.604	-0.358
AIZARANI_LIVER_C24_EPCAM_POS_BILE_DUCT_CELLS_3 AIZARANI_LIVER_C24_EPCAM_POS_BILE_DUCT_CELLS_3	-0.882	-0.421	-0.701	-1.973	-0.701	-0.548	-1.347	-0.318	1.535	3.887	1.774
DESCARTES_FETAL_PANCREAS_DUCTAL_CELLS DESCARTES_FETAL_PANCREAS_DUCTAL_CELLS	1.192	-1.276	-0.983	-1.276	1.441	3.034	-2.072	-0.983	-0.400	0.321	0.970
DESCARTES_FETAL_HEART_SMOOTH_MUSCLE_CELLS DESCARTES_FETAL_HEART_SMOOTH_MUSCLE_CELLS	-0.373	-0.373	-0.650	-1.824	1.371	2.279	-1.090	-1.824	0.998	0.239	0.685
DESCARTES_MAIN_FETAL_ASTROCYTES DESCARTES_MAIN_FETAL_ASTROCYTES	0.334	-0.782	-2.031	-0.471	1.513	3.494	-1.259	-0.270	-0.471	-0.782	0.815
DESCARTES_MAIN_FETAL_STROMAL_CELLS DESCARTES_MAIN_FETAL_STROMAL_CELLS	-0.787	0.609	-0.324	-0.787	1.057	3.858	-0.787	-0.787	-0.787	-0.324	0.279
TRAVAGLINI_LUNG_CD4_NAIVE_T_CELL TRAVAGLINI_LUNG_CD4_NAIVE_T_CELL	0.373	2.753	1.524	1.045	-1.416	-3.476	-0.473	0.373	-0.848	-0.640	0.265
DESCARTES_FETAL_PANCREAS_VASCULAR_ENDOTHELIAL_CELLS DESCARTES_FETAL_PANCREAS_VASCULAR_ENDOTHELIAL_CELLS	-1.211	-0.810	-2.654	-1.211	1.206	1.929	0.275	0.651	-0.527	0.275	1.549
HU_FETAL_RETINA_BIPOLAR HU_FETAL_RETINA_BIPOLAR	0.636	-0.671	-2.510	-0.957	-1.836	2.470	-0.671	0.301	0.301	1.727	0.858
DESCARTES_FETAL_MUSCLE_VASCULAR_ENDOTHELIAL_CELLS DESCARTES_FETAL_MUSCLE_VASCULAR_ENDOTHELIAL_CELLS	-0.689	-1.012	-0.288	-1.455	-0.454	3.211	-0.288	0.688	-0.689	-1.455	2.747
AIZARANI_LIVER_C1_NK_NKT_CELLS_1 AIZARANI_LIVER_C1_NK_NKT_CELLS_1	-3.008	-0.268	-0.839	0.451	-2.484	-0.649	0.451	0.916	2.393	1.328	0.452
MENON_FETAL_KIDNEY_1_EMBRYONIC_RED_BLOOD_CELLS MENON_FETAL_KIDNEY_1_EMBRYONIC_RED_BLOOD_CELLS	0.595	1.192	0.595	1.714	-2.605	-1.276	0.321	0.445	0.445	0.445	-3.260
BUSSLINGER_GASTRIC_G_CELLS BUSSLINGER_GASTRIC_G_CELLS	0.558	-0.336	-1.739	-2.298	-0.962	0.558	0.398	-0.696	-0.336	0.749	4.266
